date,temp_max,temp_min
2017-03-19,29.5,16.0
2017-03-20,29.6,15.3
2017-03-21,32.2,16.1
2017-03-22,34.0,18.1
2017-03-23,34.7,17.9
2017-03-24,33.5,19.5
2017-03-25,32.8,17.7
2017-03-26,34.1,19.8
2017-03-27,36.1,21.8
2017-03-28,36.9,21.4
2017-03-29,37.5,22.8
2017-03-30,37.4,22.9
2017-03-31,37.4,23.0
2017-04-01,37.8,22.5
2017-04-02,37.1,22.3
2017-04-03,37.6,21.4
2017-04-04,36.6,21.3
2017-04-05,34.7,23.3
2017-04-06,36.5,21.1
2017-04-07,33.3,19.3
2017-04-08,32.9,17.5
2017-04-09,31.9,19.7
2017-04-10,33.4,19.0
2017-04-11,36.5,20.2
2017-04-12,38.5,21.5
2017-04-13,38.6,20.8
2017-04-14,39.2,23.7
2017-04-15,40.0,22.3
2017-04-16,39.8,23.3
2017-04-17,40.7,24.7
2017-04-18,41.5,23.7
2017-04-19,41.7,25.8
2017-04-20,41.6,24.4
2017-04-21,41.0,26.0
2017-04-22,40.6,27.2
2017-04-23,38.9,24.8
2017-04-24,37.1,24.2
2017-04-25,37.2,23.5
2017-04-26,37.6,22.4
2017-04-27,38.5,23.0
2017-04-28,38.4,22.8
2017-04-29,38.3,24.0
2017-04-30,37.2,23.5
2017-05-01,37.0,22.1
2017-05-02,38.5,24.9
2017-05-03,38.3,26.5
2017-05-04,38.6,25.9
2017-05-05,39.2,23.3
2017-05-06,40.8,24.8
2017-05-07,42.2,25.3
2017-05-08,42.2,26.1
2017-05-09,42.2,25.7
2017-05-10,39.9,27.0
2017-05-11,40.0,27.2
2017-05-12,40.5,26.5
2017-05-13,40.4,26.2
2017-05-14,42.7,26.9
2017-05-15,42.7,27.4
2017-05-16,40.7,27.4
2017-05-17,36.0,25.5
2017-05-18,38.6,25.8
2017-05-19,40.9,26.4
2017-05-20,40.0,26.0
2017-05-21,39.5,25.9
2017-05-22,37.8,24.4
2017-05-23,37.9,25.2
2017-05-24,39.7,26.0
2017-05-25,40.8,27.6
2017-05-26,42.7,27.9
2017-05-27,40.9,28.4
2017-05-28,38.1,28.0
2017-05-29,35.6,25.5
2017-05-30,35.4,24.7
2017-05-31,37.3,26.3
2017-06-01,37.9,26.9
2017-06-02,39.5,25.0
2017-06-03,42.1,27.3
2017-06-04,44.2,29.8
2017-06-05,43.0,34.1
2017-06-06,40.9,32.2
2017-06-07,36.6,27.0
2017-06-08,35.8,27.1
2017-06-09,36.8,26.5
2017-06-10,39.0,26.2
2017-06-11,38.2,25.9
2017-06-12,39.0,25.8
2017-06-13,41.0,27.1
2017-06-14,41.1,27.2
2017-06-15,39.2,27.5
2017-06-16,36.7,24.3
2017-06-17,37.1,24.8
2017-06-18,36.6,25.3
2017-06-19,35.7,27.0
2017-06-20,35.0,25.1
2017-06-21,33.1,24.1
2017-06-22,34.3,25.1
2017-06-23,33.2,25.5
2017-06-24,35.9,26.3
2017-06-25,36.9,29.3
2017-06-26,37.1,29.1
2017-06-27,36.8,28.2
2017-06-28,33.6,26.9
2017-06-29,31.2,25.8
2017-06-30,30.5,26.0
2017-07-01,31.2,26.5
2017-07-02,30.4,25.7
2017-07-03,33.0,26.1
2017-07-04,34.7,27.7
2017-07-05,34.6,27.7
2017-07-06,34.5,27.1
2017-07-07,34.6,25.8
2017-07-08,34.7,26.8
2017-07-09,36.5,28.4
2017-07-10,36.4,29.1
2017-07-11,34.8,27.6
2017-07-12,30.9,26.1
2017-07-13,32.5,26.1
2017-07-14,33.0,27.2
2017-07-15,32.6,27.2
2017-07-16,32.9,27.2
2017-07-17,33.3,27.6
2017-07-18,33.9,27.1
